posting_id,company_name,job_title,target_job_class_candidate,job_class_mapping_method,sido,sigungu,address_raw,wage_type,wage_amount,employment_type,recruit_start,recruit_end,recruit_period_raw,required_career,required_education,work_time,agency_name,is_active,reference_small,has_environment_detail,env_both_hands,env_eyesight,env_handwork,env_lift_power,env_lstn_talk,env_stnd_walk
DEMO-001,가상 다함께센터,문서 자료 정리원,경영·행정·사무직,demo,서울,마포구,서울 마포구,월급,2350000,기간의 정함이 없는 근로계약,2026-07-01,2026-12-31,2026년 12월 31일까지,무관,고졸,주 5일 09:00~18:00,데모 데이터,True,사무 보조,True,양손 작업 가능,근거리 작업,정밀 작업 보조기기 협의,5kg 이하,대화 중심,일부 앉아서 근무
DEMO-002,가상 열린사무소,재택 데이터 입력원,경영·행정·사무직,demo,경기,수원시,경기 수원시 재택병행,월급,2400000,기간의 정함이 있는 근로계약,2026-07-01,2026-12-31,2026년 12월 31일까지,무관,학력무관,주 5일 09:30~17:30,데모 데이터,True,자료 입력,True,한손 작업 가능,화면 확대 지원,키보드 작업,해당 없음,메신저 중심,앉아서 근무
DEMO-003,가상 맑은환경,사무실 환경 정리원,청소 및 기타 개인서비스직,demo,서울,강서구,서울 강서구,월급,2250000,기간의 정함이 없는 근로계약,2026-07-01,2026-12-31,2026년 12월 31일까지,무관,학력무관,주 5일 08:00~16:00,데모 데이터,True,환경 미화,True,양손 작업,일반 시력,반복 작업,10kg 이하,간단한 지시 이해,서서 걷는 작업
DEMO-004,가상 온기키친,식재료 포장 보조원,음식 서비스직,demo,부산,부산진구,부산 부산진구,월급,2300000,기간의 정함이 있는 근로계약,2026-07-01,2026-12-31,2026년 12월 31일까지,무관,학력무관,주 5일 10:00~18:00,데모 데이터,True,주방 보조,True,양손 작업,일반 시력,반복 작업,5kg 이하,간단한 지시 이해,일부 서서 근무
DEMO-005,가상 나무공방,제품 포장 보조원,인쇄·목재·공예 및 기타 설치·정비·생산직,demo,대전,유성구,대전 유성구,월급,2280000,기간의 정함이 없는 근로계약,2026-07-01,2026-12-31,2026년 12월 31일까지,무관,학력무관,주 5일 09:00~17:00,데모 데이터,True,포장 보조,True,한손 작업 협의,근거리 작업,단순 반복,5kg 이하,간단한 지시 이해,앉아서 근무 가능
DEMO-006,가상 돌봄연결,복지 프로그램 행정 보조,사회복지·종교직,demo,광주,북구,광주 북구,월급,2380000,기간의 정함이 있는 근로계약,2026-07-01,2026-12-31,2026년 12월 31일까지,무관,전문대졸,주 5일 09:00~18:00,데모 데이터,True,사회복지 행정,True,양손 작업,문서 작업,키보드 작업,해당 없음,대화 및 메신저,앉아서 근무
DEMO-007,가상 웹스튜디오,웹 콘텐츠 검수 보조,정보통신 연구개발직 및 공학기술직,demo,서울,구로구,서울 구로구 재택병행,월급,2600000,기간의 정함이 있는 근로계약,2026-07-01,2026-12-31,2026년 12월 31일까지,신입,학력무관,주 5일 10:00~18:00,데모 데이터,True,웹 콘텐츠,True,한손 작업 가능,화면 확대 지원,키보드 작업,해당 없음,메신저 중심,앉아서 근무
DEMO-008,가상 안전지킴이,시설 출입 기록 보조,경호·경비직,demo,인천,남동구,인천 남동구,월급,2450000,기간의 정함이 없는 근로계약,2026-07-01,2026-12-31,2026년 12월 31일까지,무관,학력무관,교대 근무 협의,데모 데이터,True,시설 경비,True,양손 작업,원거리 확인,기록 작업,해당 없음,대화 중심,걷는 작업
DEMO-009,가상 함께판매점,온라인 주문 확인원,영업·판매직,demo,대구,중구,대구 중구,월급,2320000,기간의 정함이 있는 근로계약,2026-07-01,2026-12-31,2026년 12월 31일까지,무관,학력무관,주 5일 09:00~17:00,데모 데이터,True,온라인 판매,True,한손 작업 가능,화면 확대 지원,키보드 작업,해당 없음,메신저 중심,앉아서 근무
DEMO-010,가상 케어랩,재활 프로그램 기록 보조,보건·의료직,demo,경기,성남시,경기 성남시,월급,2500000,기간의 정함이 있는 근로계약,2026-07-01,2026-12-31,2026년 12월 31일까지,무관,전문대졸,주 5일 09:00~18:00,데모 데이터,True,보건 행정,True,양손 작업,문서 작업,키보드 작업,해당 없음,대화 및 메신저,앉아서 근무
